"name","lat","lon","address","source","cat"
"Ashi Itzcalli","-36.86298","174.7363","1 Surrey Cres Grey Lynn Auckland 1021 New Zealand","here","restaurant"
"Bamboo House","-36.84563","174.76767","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Suit Hire & Tailors","-36.84931","174.76309","Auckland Central Auckland 1010 New Zealand","here","shop"
"Japan External Trade Organisation","-36.84992","174.76286","Auckland Central Auckland 1010 New Zealand","here","government"
"Maggie Potter","-36.85873","174.78266","Parnell Auckland 1052 New Zealand","here","shop"
"New Zealand Post","-36.85056","174.76333","Auckland Central Auckland 1010 New Zealand","here","government"
"Auckland City Council","-36.85317","174.7624","Auckland Central Auckland 1010 New Zealand","here","government"
"The Mustard Seed","-36.8512","174.76013","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"$5-$10 Clothes","-36.8575","174.76004","St Kevins Arc Auckland Central Auckland 1010 New Zealand","here","shop"
"Spark","-36.8479","174.75832","Auckland Central Auckland 1010 New Zealand","here","shop"
"21 Viaduct Cafe","-36.84497","174.75789","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Romani Cafe","-36.84612","174.76766","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Beauty Within On Ponsonby","-36.84971","174.7509","Freemans Bay Auckland 1011 New Zealand","here","office"
"The Camel Bar, Fort Street","-36.846168","174.76828","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Turko","-36.848801","174.754684","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Kaffeine","-36.847406","174.764146","Auckland Central Auckland 1010 New Zealand","here","cafe"
"The Caker","-36.85864","174.75524","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Fabric","-36.84689","174.76677","Auckland Central Auckland 1010 New Zealand","here","shop"
"New Zealand Wholesale Seafoods","-36.84433","174.75467","Auckland Central Auckland 1010 New Zealand","here","shop"
"Liquor Licensing Consultants","-36.81688","174.74671","Northcote Point Auckland 0627 New Zealand","here","education"
"Neptune","-36.84109","174.76461","Auckland Central Auckland 1010 New Zealand","here","activities"
"Federal & Wolfe Cafe","-36.84494","174.76426","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Church of the Holy Sepulchre Maori","-36.86467","174.76252","Grafton Auckland 1023 New Zealand","here","religion"
"Labtests","-36.8436","174.76741","Auckland Central Auckland 1010 New Zealand","here","medical"
"Matisse","-36.84947","174.78058","Parnell Auckland 1052 New Zealand","here","shop"
"YHA International Hostel","-36.855677","174.763136","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Kungfu Noodles","-36.8562","174.76242","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Brookfields Lawyers","-36.84934","174.76496","Auckland Central Auckland 1010 New Zealand","here","office"
"Daikoku","-36.84888","174.76486","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Mayoral Drive by Aotea Centre","-36.851146","174.762285","Auckland Central Auckland 1010 New Zealand","here","delete"
"WESTERN UNION","-36.85069","174.7625","Auckland Central Auckland 1010 New Zealand","here","money"
"The Point Apartments","-36.84358","174.76005","Auckland Central Auckland 1010 New Zealand","here","residence"
"The Big Foody Food Tours","-36.85125","174.76453","Auckland Central Auckland 1010 New Zealand","here","activities"
"Vero Centre","-36.8469","174.76802","Auckland Central Auckland 1010 New Zealand","here","office"
"Thaiyanee","-36.84893","174.7736","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Epsom Remuera Croquet Club","-36.88747","174.77061","Epsom Auckland 1023 New Zealand","here","shop"
"New Zealand National Institiute of Business","-36.84578","174.76271","Auckland Central Auckland 1010 New Zealand","here","education"
"Quay St Opposite Tapora St","-36.845727","174.775186","Quay St Auckland Central Auckland 1010 New Zealand","here","delete"
"Colestown Chocolates","-36.84807","174.76581","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"The Library","-36.84479","174.7616","1 Pakenham St E Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Auckland Frameless Designer Glass","-36.84304","174.76527","Auckland Central Auckland 1010 New Zealand","here","office"
"Japan External Trade Organisation","-36.84992","174.76286","Auckland Central Auckland 1010 New Zealand","here","government"
"Seed Credit Limited","-36.84626","174.76639","Auckland Central Auckland 1010 New Zealand","here","office"
"WESTERN UNION","-36.85069","174.7625","Auckland Central Auckland 1010 New Zealand","here","money"
"Automotive Injection Services","-36.88034","174.74552","Sandringham Auckland 1025 New Zealand","here","car"
"Dean Greenwood Swim School","-36.8757","174.75684","Mount Eden Auckland 1024 New Zealand","here","sports"
"183 Richmond Rd","-36.8546","174.73648","Grey Lynn Auckland 1021 New Zealand","here","delete"
"St David's Presbyterian Church","-36.86444","174.76296","68 Khyber Pass Rd Grafton Auckland 1023 New Zealand","here","religion"
"European Antiques & Furnishings","-36.86324","174.74578","Grey Lynn Auckland 1021 New Zealand","here","shop"
"Consulate of Israel","-36.88278","174.77684","Epsom Auckland 1023 New Zealand","here","government"
"Manuka Natural Therapies","-36.85055","174.7616","Auckland Central Auckland 1010 New Zealand","here","medical"
"The Point Apartments","-36.84358","174.76005","Auckland Central Auckland 1010 New Zealand","here","residence"
"WESTERN UNION","-36.85069","174.7625","Auckland Central Auckland 1010 New Zealand","here","money"
"Jelico Street Car Pak","-36.84159","174.75529","Auckland Central Auckland 1010 New Zealand","here","car"
"Auckland Art Gallery Cafe","-36.8515","174.76587","Mayoral Dr Auckland Central Auckland 1010 New Zealand","here","restaurant"
"City Convenience Store","-36.84512","174.76494","Auckland Central Auckland 1010 New Zealand","here","grocery"
"Barbara Johnson USA Immigration Attorney","-36.8445","174.76503","Auckland Central Auckland 1010 New Zealand","here","office"
"Yoshizawa","-36.84936","174.76585","Auckland Central Auckland 1010 New Zealand","here","cafe"
"BURGER KING","-36.84943","174.76517","222 Queen St Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Hue","-36.84934","174.75138","Freemans Bay Auckland 1011 New Zealand","here","office"
"100 Victoria St","-36.84796","174.76082","Auckland Central Auckland 1010 New Zealand","here","delete"
"Fanshawe St Opp Victoria Park","-36.8457","174.75543","125 Fanshawe St Auckland Central Auckland 1010 New Zealand","here","delete"
"Pizza Hut","-36.84737","174.7626","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Andrew W Whillans","-36.8722","174.76864","Epsom Auckland 1023 New Zealand","here","medical"
"Roma Blooms","-36.84824","174.7634","Auckland Central Auckland 1010 New Zealand","here","shop"
"Betta Batteries","-36.84601","174.75919","Auckland Central Auckland 1010 New Zealand","here","shop"
"Austin Autobody","-36.85303","174.76713","Auckland Central Auckland 1010 New Zealand","here","car"
"Gladiator Marine","-36.8449","174.7628","Auckland Central Auckland 1010 New Zealand","here","sports"
"Betta Batteries","-36.84601","174.75919","Auckland Central Auckland 1010 New Zealand","here","shop"
"The Place Cafe","-36.84942","174.75577","Auckland Central Auckland 1010 New Zealand","here","cafe"
"SOFITEL","-36.84505","174.75743","Auckland Central Auckland 1010 New Zealand","here","hotel"
"The Coffee Club","-36.84814","174.76656","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Daldy Street Park","-36.84239","174.75532","Auckland Central Auckland 1010 New Zealand","here","park"
"Habitual Fix","-36.84365","174.75354","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Wishbone","-36.84625","174.77498","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Corlet Motor Company","-36.84655","174.77084","Auckland Central Auckland 1010 New Zealand","here","car"
"Good Morning Dairy","-36.8579","174.76217","Grafton Auckland 1023 New Zealand","here","grocery"
"Wilson Parking Britomart Place","-36.84456","174.77191","Auckland Central Auckland 1010 New Zealand","here","car"
"Cats on Stilts","-36.86341","174.76378","Grafton Auckland 1023 New Zealand","here","delete"
"Singh's Style Indian Takeaway","-36.84577","174.77105","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Brookfields Lawyers","-36.84934","174.76496","Auckland Central Auckland 1010 New Zealand","here","office"
"Citizen Q","-36.85275","174.76347","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Mindalive","-36.85381","174.76166","Auckland Central Auckland 1010 New Zealand","here","education"
"Daikoku","-36.84356","174.76809","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Area 51","-36.84865","174.7663","Auckland Central Auckland 1010 New Zealand","here","shop"
"Yu Yuan Seafood Restaurant","-36.86505","174.77579","Newmarket Auckland 1023 New Zealand","here","restaurant"
"Glass Goose","-36.8445","174.76438","Auckland Central Auckland 1010 New Zealand","here","bar"
"Nicholson Panel Beaters","-36.86228","174.75715","Eden Terrace Auckland 1021 New Zealand","here","car"
"Kabuki Teppanyaki","-36.84575","174.76499","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"The Coffee Club","-36.8473","174.76491","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Opposite 2 Mountain Rd","-36.86701","174.77021","43 Mountain Rd Epsom Auckland 1023 New Zealand","here","delete"
"Area 51","-36.84865","174.7663","Auckland Central Auckland 1010 New Zealand","here","shop"
"Rations Lunch Bar","-36.85578","174.76673","Grafton Auckland 1023 New Zealand","here","cafe"
"Parkright","-36.8512","174.76218","Auckland Central Auckland 1010 New Zealand","here","car"
"Albert Park Cafe","-36.84986","174.76654","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Mayoral Drive by Aotea Centre","-36.851146","174.762285","Auckland Central Auckland 1010 New Zealand","here","delete"
"Pastis","-36.84769","174.76005","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"The Nathan Club","-36.84494","174.76944","Auckland Central Auckland 1010 New Zealand","here","activities"
"Just Laptops","-36.84576","174.7687","Auckland Central Auckland 1010 New Zealand","here","shop"
"90 Seconds","-36.84268","174.75749","Auckland Central Auckland 1010 New Zealand","here","delete"
"Adams Convenience","-36.84739","174.76192","60 Hobson St Auckland Central Auckland 1010 New Zealand","here","grocery"
"Suit Hire & Tailors","-36.84931","174.76309","Auckland Central Auckland 1010 New Zealand","here","shop"
"Daebak BBQ","-36.84884","174.7631","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Suit Hire & Tailors","-36.84931","174.76309","Auckland Central Auckland 1010 New Zealand","here","shop"
"Mayoral Drive Opposite Aut","-36.852702","174.765637","Mayoral Dr Auckland Central Auckland 1010 New Zealand","here","delete"
"No 1 Pancake","-36.85103","174.76526","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Sackville Reserve","-36.85544","174.73472","Grey Lynn Auckland 1021 New Zealand","here","park"
"Bay Audiology","-36.86331","174.7807","Parnell Auckland 1052 New Zealand","here","medical"
"Carpet Court","-36.86653","174.77282","Newmarket Auckland 1023 New Zealand","here","shop"
"High Court","-36.84972","174.77186","Auckland Central Auckland 1010 New Zealand","here","government"
"AON New Zealand Auckland","-36.844","174.76488","Auckland Central Auckland 1010 New Zealand","here","office"
"Apex Natural Heathcare","-36.85497","174.73104","Westmere Auckland 1022 New Zealand","here","medical"
"Makeup Direct","-36.8495","174.76434","Auckland Central Auckland 1010 New Zealand","here","shop"
"Neptune","-36.84109","174.76461","Auckland Central Auckland 1010 New Zealand","here","activities"
"Citizen Q","-36.85275","174.76347","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Kings Bridge Appartments","-36.84937","174.7593","63 Nelson St Auckland Central Auckland 1010 New Zealand","here","residence"
"Euro","-36.84187","174.76478","Auckland Central Auckland 1010 New Zealand","here","restaurant"
